标题,文章简称,\cite{},发表年月,10大原则,4个阶段,一作,一作单位,通讯,通讯单位,具身任务,方法论,发表情况,链接,备注/讨论点,父记录
A Model-Agnostic Approach for Semantically Driven Disambiguation in Human-Robot Interaction,Fethiye Irmak et al.,dogan2025modelagnosticapproachsemanticallydriven,25.04,可信-准确,指令理解,Fethiye Irmak Dogan,KTH Royal Institute of Technology,,,Object Search,"LLM, 迭代式交互, 不确定度",IEEE International Conference on Robot & Human Interactive Communication (RO-MAN),https://arxiv.org/abs/2409.17004,关键词：指令歧义；任务：自然语言描述的定位，不是3D Grounding,
AGENTSAFE: Benchmarking the Safety of Embodied Agents on Hazardous Instructions,AGENTSAFE,liu2025agentsafebenchmarkingsafetyembodied,25.06,安全-抗攻击,指令理解,Aishan Liu,BUAA,,,"EQA(2D), VLA, VLN, Planning","Benchmark, MLLM, Attack Paradigm, AI2-THOR",,https://arxiv.org/abs/2506.14697,,
Advancing Embodied Agent Security: From Safety Benchmarks to Input Moderation,EAsafetyBench,wang2025advancingembodiedagentsecurity,25.04,安全-抗攻击,指令理解,Ning Wang,CQU,Chuan Ma,CQU,EQA(2D),Benchmark,,https://arxiv.org/abs/2504.15699,,
Adversarial Attacks on Robotic Vision Language Action Models,Eliot Krzysztof et al.,jones2025adversarialattacksroboticvision,25.06,安全-抗攻击,指令理解,Eliot Krzysztof Jones,Gray Swan AI,Eliot Krzysztof Jones1,Gray Swan AI,VLA,adversarial attack,,https://arxiv.org/abs/2506.03350,,
Adversarial Training for Multimodal Large Language Models against Jailbreak Attacks,ProEAT,lu2025adversarialtrainingmultimodallarge,25.03,安全-抗攻击,指令理解,Liming Lu,NJUST,,,EQA(2D),"MLLM, adversarial attack, 指令微调",,https://arxiv.org/abs/2503.04833,,
BadNAVer: Exploring Jailbreak Attacks On Vision-and-Language Navigation,BadNAVer,lyu2025badnaverexploringjailbreakattacks,25.05,安全-抗攻击,指令理解,Wenqi Lyu,AIML,Qi Wu,AIML,VLN,MLLM,,https://arxiv.org/abs/2505.12443,,
Concept Enhancement Engineering: A Lightweight and Efficient Robust Defense Against Jailbreak Attacks in Embodied AI,CEE,yang2025conceptenhancementengineeringlightweight,25.04,安全-抗攻击,指令理解,Jirui Yang; Zheyu Lin,FDU,,,"Planning, EQA(2D)",MLLM,,https://arxiv.org/abs/2504.13201,,
DoRO: Disambiguation of Referred Object for Embodied Agents,DoRO,pramanick2022doro,22.1,可信-准确,指令理解,Pradip Pramanick,TCS Research,Chayan Sarkar,TCS Research,Grounding (2D),小模型,"IEEE Robotics and Automation Letters, 2022",https://ieeexplore.ieee.org/abstract/document/9846930,关键词：模糊指令,
Embodied Instruction Following in Unknown Environments,Wu et al.,wu2025embodiedinstructionfollowingunknown,25.07,可信-可靠,指令理解,,,,,,,,,,
Embodied Multi-Agent Task Planning from Ambiguous Instruction,Liu et al.,liu2022embodied,22.06,可信-准确,指令理解,Xinzhu Liu,THU,Huaping Liu,THU,Planning,"Benchmark, 小模型",RSS 22,https://web.archive.org/web/20220704170254id_/http://www.roboticsproceedings.org/rss18/p032.pdf,关键词：模糊指令、多智能体,
Grounding Multimodal LLMs to Embodied Agents that Ask for Help with Reinforcement Learning,Ramrakhya et al.,ramrakhya2025grounding,25.04,可信-准确,指令理解,Ram Ramrakhya,"Georgia Institute of Technology, Meta",,,EQA(2D),"Benchmark, MLLM, 强化学习",,https://arxiv.org/abs/2504.00907,关键词：模糊指令/指令歧义,
Improving Grounded Natural Language Understanding through Human-Robot Dialog,Thomason et al.,thomason2019improving,19.05,可信-准确,指令理解,Jesse Thomason,University of Washington,,,"Navigation, delivery, relocation",迭代式交互,ICRA 19,https://ieeexplore.ieee.org/abstract/document/8794287,关键词：指令对话,
Inner Monologue: Embodied Reasoning through Planning with Language Models,Inner Monologue,huang2022innermonologueembodiedreasoning,22.07,可信-准确,指令理解,,,,,,,,,,
Integrating Disambiguation and User Preferences into Large Language Models for Robot Motion Planning,Abugurain et al.,abugurain2024integrating,24.04,可信-准确,指令理解,Mohammed Abugurain,KAUST,,,Navigation,LLM,,https://arxiv.org/abs/2404.14547,关键词：指令歧义、用户偏好,
Jailbreaking LLM-Controlled Robots,Robey et al.,robey2024jailbreakingllmcontrolledrobots,24.1,安全-抗攻击,指令理解,Alexander Robey,UPenn,,,EQA(2D),"Benchmark, Prompt",ICRA 2025,https://arxiv.org/abs/2410.13691,,
LACMA: Language-Aligning Contrastive Learning with Meta-Actions for Embodied Instruction Following,LACMA,yang2023lacmalanguagealigningcontrastivelearning,23.1,可信-可靠,指令理解,,,,,,,,,,
"LLM-Driven Robots Risk Enacting Discrimination, Violence, and Unlawful Actions",Azeem et al.,azeem_llm-driven_2024,24.06,安全-价值对齐,指令理解,,,,,,,,,,
MM-SafetyBench: A Benchmark for Safety Evaluation of Multimodal Large Language Models,MM-SafetyBench,liu2024mmsafetybenchbenchmarksafetyevaluation,23.11,安全-抗攻击,指令理解,Xin Liu,"PJLAB, ECNU","Yunshi Lan, Chao Yang","PJLAB, ECNU",EQA(2D),"Benchmark, MLLM",ECCV 2024,https://arxiv.org/abs/2311.17600,,
NarraGuide: an LLM-based Narrative Mobile Robot for Remote Place Exploration,NarraGuide,hu2025narraguide,25.08,可信-准确,指令理解,,,,,,,,,,
Navigation as Attackers Wish? Towards Building Robust Embodied Agents under Federated Learning,NoisyEQA,wu2024noisyeqabenchmarkingembodiedquestion,22.11,可信-准确,指令理解,Yunchao Zhang,UCSC,,,VLN,"指令微调, MLLM",ACL 2024,https://arxiv.org/abs/2211.14769,,
Open-Ended Instructable Embodied Agents with Memory-Augmented Large Language Models,HELPER,sarch2023openendedinstructableembodiedagents,23.1,可信-准确,指令理解,,,,,,,,,,
POEX: Understanding and Mitigating Policy Executable Jailbreak Attacks against Embodied AI,POEX,lu2025poexunderstandingmitigatingpolicy,24.12,安全-抗攻击,指令理解,Xuancun Lu,ZJU,,,"Planning, EQA(2D)","MLLM, Benchmark, Prompt",,https://arxiv.org/abs/2412.16633,,
Plug in the Safety Chip: Enforcing Constraints for LLM-driven Robot Agents,Yang et al.,yang2023plugsafetychipenforcing,23.09,安全-防滥用,指令理解,,,,,,,,,,
"Security Considerations in AI-Robotics: A Survey of Current Methods, Challenges, and Opportunities",Neupane et al.,neupane2024securityconsiderationsairoboticssurvey,23.1,安全-隐私可保护,指令理解,,,,,,,,,,
Semantic Skill Grounding for Embodied Instruction-Following in Cross-Domain Environments,SemGro,shin2024semanticskillgroundingembodied,24.08,可信-可靠,指令理解,,,,,,,,,,
ThinkBot: Embodied Instruction Following with Thought Chain Reasoning,ThinkBot,lu2023thinkbotembodiedinstructionfollowing,23.12,可信-准确,指令理解,,,,,,,,,,
Towards Robust Multimodal Large Language Models Against Jailbreak Attacks,SAFEMLLM,yin2025robustmultimodallargelanguage,25.02,安全-抗攻击,指令理解,Ziyi Yin,UPenn,,,EQA(2D),"adversarial attack, MLLM",,https://arxiv.org/abs/2502.00653,,
Verifiably Following Complex Robot Instructions with Foundation Models,LIMP,quartey2025verifiablyfollowingcomplexrobot,24.02,可信-可靠,指令理解,,,,,,,,,,
tagE: Enabling an Embodied Agent to Understand Human Instructions,tagE,sarkar2023tageenablingembodiedagent,23.1,可信-准确,指令理解,,,,,,,,,,
,,,,,指令理解,,,,,,,,,,
A Survey on Adversarial Robustness of LiDAR-based Machine Learning Perception in Autonomous Vehicles,Kim et al.,kim_survey_2024,24.11,"安全-抗攻击, 安全-防滥用",环境感知,Junae Kim,,,,survey,survey,,https://arxiv.org/pdf/2411.13778v1,环境感知,
